# Host will use the first 20 attributes,
# attribute, value (1-20)
DADDY,14
CANDOR,12
VIVACITY,7
COORDINATION,18
MEEKNESS,3
HUMILITY,7
#BURRITO AFFINITY,19
CRUELTY,15
SELF-PRESERVATION,11
PATIENCE,9
DECISIVENESS,17
IMAGINATION,15
CURIOSITY,13
AGGRESSION,8
LOYALTY,4
EMPATHY,12
TENACITY,17
COURAGE,13
SENSUALITY,9
CHARM,16
HUMOR,9
,
# full list of 120 attributes,
Bulk apperception,
Candor,
Coordination,
Vindictiveness,
Stubbornness,
Innovation,
Kindness,
Assurance,
Facility,
Meticulousness,
Capriciousness,
Fastidiousness,
Rhythm,
Hubris,
Fragility,
Leadership,
Education,
Wisdom,
Entitlement,
Individualism,
Laziness,
Forgetfulness,
Tenderness,
Masculinity,
Expressivity,
Fashionableness,
Fidelity,
Spirituality,
Patriotism,
Brusqueness,
Whimsy,
Introversion,
Strength,
Competitiveness,
Pride,
Consideration,
Congeniality,
Literalism,
Confidence,
Courtesy,
Morality,
Artistry,
Faith,
Bellicosity,
Reserve,
Gentleness,
Integrity,
Sarcasm,
Wanderlust,
Timidity,
Sociopathy,
Intuition,
Humor,
Sensuality,
Tenacity,
Loyalty,
Curiosity,
Decisiveness,
Self-Preservation,
Humility,
Vivacity,
Coordination,
Generosity,
Narcissism,
Lugubriousness,
Adventurousness,
Articulateness,
Poise,
Paternalism,
Delicacy,
Cleanliness,
Health,
Self-Esteem,
Wonderment,
Deceptiveness,
Willingness,
Knowledgeableness,
Judiciousness,
Sexuality,
Selfishness,
Industry,
Affection,
Femininity,
Flexibility,
Reflectiveness,
Decorum,
Skepticism,
Inhibition,
Reticence,
Stoicism,
Extroversion,
Restraint,
Physicality,
Passivity,
Comprehensiveness,
Gregariousness,
Determination,
Visionariness,
Joy,
Focus,
Musicality,
Obedience,
Endurance,
Ribaldry (vulgarness),
Perseverance,
Peacefulness,
Grit,
Temperance,
Brazenness,
Egocentricism,
Emotional Acuity,
Perception,
Charm,
Courage,
Empathy,
Aggression,
Imagination,
Patience,
Cruelty,
Meekness,
